index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",518.051000,"{2: 10, 0: 8}",0.133400,0.031915,"['1', '2']","['1', '2']",108660.000000,"[('1', 10), ('2', 8)]",18,18,"[0, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1,108660.000000,20.000000,68.120000,124422.370000,1108.630000,15762.370000,20.540000,2298.000000,2298.000000,0.000000,12,15,387.430191
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",616.281000,"{1: 7, 3: 9, 2: 7}",0.005900,0.012739,"['1', '2', '3']","['1', '2', '3']",118760.000000,"[('1', 9), ('2', 7), ('3', 7)]",23,23,"[1, 2, 3, 0]",True,[],0.150000,2,0.138900,0.027800,1,118760.000000,20.000000,78.220000,134522.770000,2506.230000,15762.770000,20.540000,2220.000000,2220.000000,0.000000,20,35,5039.691925
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",1168.964000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.003135,"['1', '0', '2', '3']","['1', '0', '2', '3']",149120.000000,"[('0', 8), ('1', 7), ('2', 7), ('3', 9)]",31,31,"[0, 1, 2, 3, 4]",True,[],0.150000,2,0.138900,0.027800,1,149120.000000,20.000000,108.580000,164883.570000,1032.430000,15763.570000,20.540000,1374.000000,1374.000000,0.033333,30,76,669.002533
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",2000.353000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.001001,"['1', '5', '2', '4']","['1', '5', '2', '4']",190160.000000,"[('1', 6), ('2', 10), ('4', 9), ('5', 8)]",33,33,"[0, 1, 3, 2, 4, 5]",True,[],0.150000,2,0.138900,0.027800,1,190160.000000,20.000000,149.620000,205920.770000,1295.230000,15760.770000,20.540000,2525.000000,2525.000000,0.000000,42,128,990.152359
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",794.839000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.720000,0.001000,"['1', '0', '6', '3', '5', '4']","['1', '0', '6', '3', '5', '4']",96940.000000,"[('0', 12), ('1', 6), ('3', 8), ('4', 8), ('5', 6), ('6', 8)]",48,48,"[1, 6, 3, 4, 0, 5, 2]",False,['Some bins are overfilled; '],0.150000,2,0.075800,0.015200,1,96940.000000,20.000000,56.400000,112701.170000,2951.830000,15761.170000,20.540000,980.000000,980.000000,0.017857,56,214,2734.899521
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",2664.940000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.362000,0.001000,"['1', '0', '6', '3', '5']","['1', '0', '6', '3', '5']",210660.000000,"[('0', 10), ('1', 5), ('3', 9), ('5', 8), ('6', 6)]",38,38,"[2, 3, 4, 0, 1, 5, 7, 6]",True,[],0.150000,2,0.138900,0.027800,1,210660.000000,20.000000,170.120000,226419.970000,6153.030000,15759.970000,20.540000,3754.000000,3754.000000,0.013889,72,354,3302.574158
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1534.176000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",0.384600,0.001000,"['1', '0', '6', '8', '2', '5', '4']","['1', '0', '6', '8', '2', '5', '4']",186940.000000,"[('0', 4), ('1', 8), ('2', 7), ('4', 10), ('5', 8), ('6', 8), ('8', 7)]",52,52,"[8, 6, 0, 1, 7, 2, 3, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1,186940.000000,20.000000,146.400000,202699.170000,2052.830000,15759.170000,20.540000,3693.000000,3693.000000,0.000000,90,562,23137.331009
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",2979.454000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",3.797800,0.001000,"['1', '0', '6', '7', '3', '9', '8', '5', '4']","['1', '0', '6', '7', '3', '9', '8', '4']",205820.000000,"[('0', 7), ('1', 9), ('3', 8), ('4', 7), ('6', 9), ('7', 9), ('8', 6), ('9', 5)]",65,60,"[3, 4, 6, 9, 1, 7, 5, 8, 0]",False,"['yi:9 != xij:8; ', 'real_weights_sum:65 != placed_weights_sum:60; ']",0.150000,2,0.138900,0.027800,1,205820.000000,20.000000,165.280000,221579.170000,5508.830000,15759.170000,20.540000,3154.000000,3154.000000,0.036364,110,817,4737.377167
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",414.782000,"{2: 4, 0: 8, 1: 7}",0.284300,0.038462,"['1', '0', '2']","['1', '0', '2']",107940.000000,"[('0', 8), ('1', 7), ('2', 4)]",19,19,"[1, 2, 0]",True,[],0.150000,2,0.138900,0.027800,1,107940.000000,20.000000,67.400000,123701.970000,701.030000,15761.970000,20.540000,2056.000000,2056.000000,0.000000,12,15,340.461731
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",487.747000,"{2: 6, 0: 10, 1: 9}",0.228100,0.032120,"['1', '0', '3']","['1', '0', '3']",112220.000000,"[('0', 9), ('1', 6), ('3', 10)]",25,25,"[2, 0, 1, 3]",True,[],0.150000,2,0.138900,0.027800,1,112220.000000,20.000000,71.680000,127981.970000,2126.030000,15761.970000,20.540000,1342.000000,1342.000000,0.050000,20,35,389.337540
