,PP_SA_min_eigenvalue,PP_SA_eigenval_prob,PP_SA_yi,PP_SA_xij,PP_SA_runtime,PP_SA_assignment,PP_SA_real_weights_sum,PP_SA_placed_weights_sum,PP_SA_used_items,PP_SA_feasible,PP_SA_reason,PP_SA_penalties_dict_A,PP_SA_penalties_dict_B
0,0.020000,0.001000,"['2', '1']","['2', '1']",1130.387545,"[('1', 8), ('2', 10)]",18,18,"[1, 0, 2]",True,[],0.100000,0.010000
1,0.220000,0.001000,"['2', '1']","['2', '1']",1588.263512,"[('1', 14), ('2', 9)]",23,23,"[0, 3, 1, 2]",False,['Some bins are overfilled; '],0.100000,0.010000
2,0.350000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",2116.968632,"[('0', 4), ('1', 9), ('2', 8), ('3', 11), ('4', 7)]",31,39,"[0, 4, 0, 1, 1, 2, 3]",False,"['real_weights_sum:31 != placed_weights_sum:39; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
3,0.340000,0.001000,"['4', '5', '2', '1']","['4', '5', '2', '1']",2754.024744,"[('1', 10), ('2', 15), ('4', 5), ('5', 8)]",33,38,"[2, 3, 0, 1, 4, 2, 5]",False,"['real_weights_sum:33 != placed_weights_sum:38; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
4,1.070000,0.001000,"['1', '4', '2', '3', '0', '5', '6']","['1', '4', '2', '3', '0', '5', '6']",6323.422194,"[('0', 12), ('1', 12), ('2', 8), ('3', 14), ('4', 8), ('5', 6), ('6', 8)]",48,68,"[3, 5, 1, 3, 4, 4, 6, 0, 5, 2]",False,"['real_weights_sum:48 != placed_weights_sum:68; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
5,0.870000,0.001000,"['1', '4', '2', '3', '0', '5', '7']","['1', '4', '2', '3', '0', '5', '7']",4720.457792,"[('0', 13), ('1', 8), ('2', 10), ('3', 9), ('4', 4), ('5', 5), ('7', 6)]",38,55,"[3, 4, 5, 3, 5, 2, 7, 0, 1, 0, 1, 6]",False,"['real_weights_sum:38 != placed_weights_sum:55; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
6,1.570000,0.001000,"['1', '4', '2', '5', '0', '6', '7']","['1', '4', '2', '5', '0', '6', '7']",5574.226141,"[('0', 11), ('1', 18), ('2', 15), ('4', 13), ('5', 8), ('6', 12), ('7', 10)]",52,87,"[0, 3, 0, 4, 8, 4, 5, 8, 6, 7, 6, 2, 3, 1, 7]",False,"['real_weights_sum:52 != placed_weights_sum:87; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
7,1.990000,0.001000,"['9', '1', '4', '8', '2', '5', '0', '6', '7']","['9', '1', '4', '8', '2', '5', '0', '6', '7']",6690.559387,"[('0', 4), ('1', 13), ('2', 9), ('4', 12), ('5', 10), ('6', 9), ('7', 16), ('8', 9), ('9', 18)]",65,100,"[9, 5, 6, 7, 0, 3, 8, 9, 2, 6, 3, 7, 5, 4, 7]",False,"['real_weights_sum:65 != placed_weights_sum:100; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.100000,0.010000
8,0.110000,0.001000,['0'],['0'],1055.973291,"[('0', 19)]",19,19,"[0, 1, 2]",False,['Some bins are overfilled; '],0.100000,0.010000
9,0.220000,0.001000,"['2', '1']","['2', '1']",1550.884485,"[('1', 15), ('2', 10)]",25,25,"[0, 2, 1, 3]",False,['Some bins are overfilled; '],0.100000,0.010000
