index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time,AL_QA_chain_strength_sample,AL_QA_chain_strength_method
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",762.193000,"{2: 10, 0: 8}",0.133400,0.023622,"['2', '0']","['2', '0']",125700.000000,"[('0', 8), ('2', 10)]",18,18,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1,125700.000000,20.000000,85.160000,141457.970000,1590.030000,15757.970000,20.540000,2505.000000,2505.000000,0.000000,12,16,454.425812,6,6
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",962.693000,"{1: 7, 3: 9, 2: 7}",0.005900,0.010989,"['1', '2', '0']","['1', '2', '0']",127360.000000,"[('0', 7), ('1', 9), ('2', 7)]",23,23,"[3, 1, 2, 0]",True,[],0.150000,2,0.138900,0.027800,1,127360.000000,20.000000,86.820000,143118.370000,1282.630000,15758.370000,20.540000,2145.000000,2145.000000,0.000000,20,34,708.103180,6,6
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",992.721000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.002077,"['1', '2', '0', '3']","['1', '2', '0', '3']",127040.000000,"[('0', 8), ('1', 7), ('2', 7), ('3', 9)]",31,31,"[0, 1, 2, 3, 4]",True,[],0.150000,2,0.138900,0.027800,1,127040.000000,20.000000,86.500000,142798.770000,1430.230000,15758.770000,20.540000,3789.000000,3789.000000,0.000000,30,73,1153.230667,6,6
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",1579.651000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.002000,"['1', '3', '5', '4']","['1', '3', '5', '4']",168100.000000,"[('1', 10), ('3', 9), ('4', 8), ('5', 6)]",33,33,"[2, 3, 1, 4, 5, 0]",True,[],0.150000,2,0.138900,0.027800,1,168100.000000,20.000000,127.560000,183859.170000,1779.830000,15759.170000,20.540000,1368.000000,1368.000000,0.000000,42,125,1792.430878,6,6
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",1325.168000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.537600,0.001000,"['1', '5', '3', '6', '2', '4', '0']","['1', '5', '3', '6', '2', '4', '0']",92460.000000,"[('0', 6), ('1', 8), ('2', 6), ('3', 8), ('4', 6), ('5', 8), ('6', 6)]",48,48,"[6, 2, 5, 0, 3, 4, 1]",True,[],0.150000,2,0.075800,0.015200,1,92460.000000,20.000000,51.920000,108220.370000,2503.630000,15760.370000,20.540000,1172.000000,1172.000000,0.000000,56,224,3667.593002,6,6
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",3111.472000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.139600,0.001000,"['5', '3', '2', '4', '7']","['5', '3', '2', '4', '7']",176980.000000,"[('2', 6), ('3', 8), ('4', 6), ('5', 9), ('7', 9)]",38,38,"[2, 0, 7, 6, 1, 3, 4, 5]",True,[],0.150000,2,0.138900,0.027800,1,176980.000000,20.000000,136.440000,192737.570000,3040.430000,15757.570000,20.540000,3556.000000,3556.000000,0.000000,72,353,8496.284485,6,6
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1232.356000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",1.178800,0.001000,"['1', '5', '6', '2', '4', '7']","['1', '5', '6', '2', '4', '7']",188680.000000,"[('1', 7), ('2', 5), ('4', 8), ('5', 12), ('6', 8), ('7', 12)]",52,52,"[4, 1, 2, 0, 7, 5, 8, 3, 6]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,188680.000000,20.000000,148.140000,204438.370000,3432.630000,15758.370000,20.540000,4559.000000,4559.000000,0.011111,90,572,8778.333664,6,6
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",4339.885000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",3.089700,0.001000,"['1', '3', '9', '6', '2', '7', '8', '0']","['1', '3', '9', '6', '2', '7', '8', '0']",226400.000000,"[('0', 6), ('1', 9), ('2', 6), ('3', 9), ('6', 9), ('7', 9), ('8', 11), ('9', 12)]",65,71,"[8, 0, 9, 8, 4, 7, 5, 3, 6, 1, 2]",False,"['real_weights_sum:65 != placed_weights_sum:71; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.150000,2,0.138900,0.027800,1,226400.000000,20.000000,185.860000,242157.170000,3112.830000,15757.170000,20.540000,4950.000000,4950.000000,0.000000,110,799,8017.539978,6,6
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",434.072000,"{2: 4, 0: 8, 1: 7}",0.284300,0.022556,"['1', '2', '0']","['1', '2', '0']",102660.000000,"[('0', 8), ('1', 4), ('2', 7)]",19,19,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1,102660.000000,20.000000,62.120000,118418.770000,1504.230000,15758.770000,20.540000,1466.000000,1466.000000,0.000000,12,17,296.354294,6,6
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",494.132000,"{2: 6, 0: 10, 1: 9}",0.228100,0.025692,"['1', '2', '3']","['1', '2', '3']",128320.000000,"[('1', 6), ('2', 10), ('3', 9)]",25,25,"[0, 1, 3, 2]",True,[],0.150000,2,0.138900,0.027800,1,128320.000000,20.000000,87.780000,144078.370000,875.630000,15758.370000,20.540000,938.000000,938.000000,0.000000,20,36,653.028488,6,6
