index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time,AL_QA_chain_strength_sample,AL_QA_chain_strength_method
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",762.193000,"{2: 10, 0: 8}",0.133400,0.088235,"['1', '2']","['1', '2']",110340.000000,"[('1', 10), ('2', 8)]",18,18,"[0, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1,110340.000000,20.000000,69.800000,126105.170000,1649.830000,15765.170000,20.540000,271.000000,271.000000,0.000000,12,16,2581.119537,2.695200,scaled
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",962.693000,"{1: 7, 3: 9, 2: 7}",0.005900,0.020408,"['1', '2', '3']","['1', '2', '3']",153580.000000,"[('1', 9), ('2', 7), ('3', 7)]",23,23,"[1, 2, 3, 0]",True,[],0.150000,2,0.138900,0.027800,1,153580.000000,20.000000,113.040000,169344.770000,772.230000,15764.770000,20.540000,624.000000,624.000000,0.000000,20,34,451.087952,4.001050,scaled
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",992.721000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.001045,"['2', '0', '3', '4']","['2', '0', '3', '4']",94800.000000,"[('0', 8), ('2', 7), ('3', 7), ('4', 9)]",31,31,"[0, 1, 2, 3, 4]",True,[],0.150000,2,0.138900,0.027800,1,94800.000000,20.000000,54.260000,110564.370000,1478.630000,15764.370000,20.540000,1196.000000,1196.000000,0.000000,30,74,1421.213150,6.502150,scaled
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",1579.651000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.001000,"['1', '3', '5', '4']","['1', '3', '5', '4']",163280.000000,"[('1', 9), ('3', 8), ('4', 6), ('5', 10)]",33,33,"[2, 4, 5, 0, 1, 3]",True,[],0.150000,2,0.138900,0.027800,1,163280.000000,20.000000,122.740000,179043.970000,1948.030000,15763.970000,20.540000,2874.000000,2874.000000,0.000000,42,132,2752.780914,7.363200,scaled
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",1325.168000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",1.267200,0.001000,"['3', '6', '2', '4', '0']","['3', '6', '2', '4', '0']",206520.000000,"[('0', 12), ('2', 14), ('3', 8), ('4', 6), ('6', 8)]",48,48,"[5, 6, 1, 4, 0, 3, 2]",False,['Some bins are overfilled; '],0.150000,2,0.075800,0.015200,1,206520.000000,20.000000,165.980000,222284.770000,3819.230000,15764.770000,20.540000,1722.000000,1722.000000,0.000000,56,206,4110.813141,7.863600,scaled
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",3111.472000,"{0: 10, 1: 10, 2: 8, 6: 10}",3.052600,0.001000,"['5', '3', '6', '2', '4', '7', '0']","['5', '3', '6', '2', '4', '7', '0']",209900.000000,"[('0', 4), ('2', 9), ('3', 6), ('4', 10), ('5', 5), ('6', 6), ('7', 4)]",38,44,"[0, 4, 7, 6, 2, 3, 1, 6, 5]",False,"['real_weights_sum:38 != placed_weights_sum:44; ', 'Some items are used multiple times.']",0.150000,2,0.138900,0.027800,1,209900.000000,20.000000,169.360000,225666.770000,2305.230000,15766.770000,20.540000,2960.000000,2960.000000,0.000000,72,360,4643.201828,9.001900,scaled
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1232.356000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",5.297100,0.001000,"['1', '5', '3', '6', '2', '4', '7', '8', '0']","['1', '5', '3', '6', '2', '4', '7', '8', '0']",127500.000000,"[('0', 7), ('1', 4), ('2', 4), ('3', 7), ('4', 8), ('5', 7), ('6', 9), ('7', 12), ('8', 5)]",52,63,"[0, 5, 8, 0, 6, 4, 3, 7, 2, 3, 1]",False,"['real_weights_sum:52 != placed_weights_sum:63; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.150000,2,0.138900,0.027800,1,127500.000000,20.000000,86.960000,143264.770000,3990.230000,15764.770000,20.540000,4563.000000,4563.000000,0.000000,90,592,3004.789352,12.476000,scaled
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",4339.885000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",13.702000,0.001000,"['1', '5', '9', '6', '2', '4', '8', '0']","['1', '5', '3', '9', '6', '2', '4', '8', '0']",222260.000000,"[('0', 8), ('1', 9), ('2', 14), ('3', 5), ('4', 15), ('5', 9), ('6', 7), ('8', 12), ('9', 9)]",65,88,"[6, 9, 4, 0, 5, 2, 5, 8, 7, 3, 0, 1, 2, 9]",False,"['yi:8 != xij:9; ', 'real_weights_sum:65 != placed_weights_sum:88; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",0.150000,2,0.138900,0.027800,1,222260.000000,20.000000,181.720000,238022.370000,4132.630000,15762.370000,20.540000,4919.000000,4919.000000,0.000000,110,872,8801.698685,15.755550,scaled
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",434.072000,"{2: 4, 0: 8, 1: 7}",0.284300,0.090909,"['1', '2', '0']","['1', '2', '0']",82380.000000,"[('0', 7), ('1', 4), ('2', 8)]",19,19,"[2, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,82380.000000,20.000000,41.840000,98144.370000,892.630000,15764.370000,20.540000,518.000000,518.000000,0.000000,12,15,228.643417,2.806400,scaled
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",494.132000,"{2: 6, 0: 10, 1: 9}",0.228100,0.032099,"['1', '2', '3']","['1', '2', '3']",194460.000000,"[('1', 6), ('2', 10), ('3', 9)]",25,25,"[0, 1, 3, 2]",True,[],0.150000,2,0.138900,0.027800,1,194460.000000,20.000000,153.920000,210224.770000,2825.230000,15764.770000,20.540000,745.000000,745.000000,0.000000,20,37,402.927399,4.751550,scaled
