index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time,AL_QA_chain_strength_sample,AL_QA_chain_strength_method
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",487.341000,"{2: 10, 0: 8}",0.133400,0.063830,"['1', '2']","['1', '2']",121380.000000,"[('1', 10), ('2', 8)]",18,18,"[0, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1,121380.000000,20.000000,80.840000,137143.170000,1811.830000,15763.170000,20.540000,429.000000,429.000000,0.000000,12,15,377.416611,2.726130,uniform_torque_compensation
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",596.137000,"{1: 7, 3: 9, 2: 7}",0.005900,0.022642,"['0', '1', '3']","['0', '1', '3']",103600.000000,"[('0', 7), ('1', 9), ('3', 7)]",23,23,"[0, 1, 2, 3]",True,[],0.150000,2,0.138900,0.027800,1,103600.000000,20.000000,63.060000,119362.370000,1693.630000,15762.370000,20.540000,435.000000,435.000000,0.000000,20,36,524.759293,3.078706,uniform_torque_compensation
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",881.112000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.007712,"['4', '0', '1', '3']","['4', '0', '1', '3']",111040.000000,"[('0', 7), ('1', 7), ('3', 9), ('4', 8)]",31,31,"[3, 2, 4, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,111040.000000,20.000000,70.500000,126803.170000,1845.830000,15763.170000,20.540000,2475.000000,2475.000000,0.000000,30,69,669.479370,3.623217,uniform_torque_compensation
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",3164.062000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.002022,"['5', '1', '3', '2']","['5', '1', '3', '2']",97460.000000,"[('1', 8), ('2', 10), ('3', 9), ('5', 6)]",33,33,"[5, 1, 3, 2, 4, 0]",True,[],0.150000,2,0.138900,0.027800,1,97460.000000,20.000000,56.920000,113221.570000,2664.430000,15761.570000,20.540000,4089.000000,4089.000000,0.000000,42,132,991.344452,3.714758,uniform_torque_compensation
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",821.121000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.537600,0.001000,"['6', '4', '0', '1', '3', '2', '5']","['6', '4', '0', '1', '3', '2', '5']",180560.000000,"[('0', 6), ('1', 8), ('2', 8), ('3', 6), ('4', 6), ('5', 6), ('6', 8)]",48,48,"[3, 4, 2, 5, 1, 6, 0]",True,[],0.150000,2,0.075800,0.015200,1,180560.000000,20.000000,140.020000,196323.970000,3688.030000,15763.970000,20.540000,1032.000000,1032.000000,0.000000,56,209,2958.774567,3.738291,uniform_torque_compensation
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",2684.794000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.346200,0.001000,"['6', '7', '1', '3', '2', '5']","['6', '7', '1', '3', '2', '5']",140000.000000,"[('1', 8), ('2', 5), ('3', 6), ('5', 6), ('6', 5), ('7', 8)]",38,38,"[0, 7, 1, 6, 2, 4, 3, 5]",True,[],0.150000,2,0.138900,0.027800,1,140000.000000,20.000000,99.460000,155763.970000,3395.030000,15763.970000,20.540000,2763.000000,2763.000000,0.000000,72,377,2782.106400,4.087673,uniform_torque_compensation
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1682.695000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",0.329000,0.001000,"['8', '6', '7', '0', '1', '2', '5']","['8', '6', '7', '0', '1', '2', '5']",191020.000000,"[('0', 8), ('1', 7), ('2', 9), ('5', 7), ('6', 8), ('7', 9), ('8', 4)]",52,52,"[6, 0, 1, 3, 4, 2, 5, 7, 8]",True,[],0.150000,2,0.138900,0.027800,1,191020.000000,20.000000,150.480000,206784.370000,5026.630000,15764.370000,20.540000,4416.000000,4416.000000,0.000000,90,580,5631.446838,4.695139,uniform_torque_compensation
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",3241.921000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",1.272900,0.001000,"['8', '7', '0', '1', '3', '2', '5']","['8', '7', '0', '1', '3', '2', '5']",193680.000000,"[('0', 9), ('1', 12), ('2', 10), ('3', 9), ('5', 11), ('7', 5), ('8', 9)]",65,65,"[4, 1, 2, 6, 8, 5, 3, 9, 0, 7]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,193680.000000,20.000000,153.140000,209439.970000,5525.030000,15759.970000,20.540000,3407.000000,3407.000000,0.009091,110,819,3937.482834,5.280486,uniform_torque_compensation
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",463.244000,"{2: 4, 0: 8, 1: 7}",0.284300,0.056604,"['0', '1', '2']","['0', '1', '2']",110820.000000,"[('0', 7), ('1', 4), ('2', 8)]",19,19,"[2, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,110820.000000,20.000000,70.280000,126582.770000,713.230000,15762.770000,20.540000,1991.000000,1991.000000,0.000000,12,16,212.907791,2.820148,uniform_torque_compensation
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",500.449000,"{2: 6, 0: 10, 1: 9}",0.228100,0.051181,"['1', '3', '2']","['1', '3', '2']",123040.000000,"[('1', 9), ('2', 10), ('3', 6)]",25,25,"[2, 1, 3, 0]",True,[],0.150000,2,0.138900,0.027800,1,123040.000000,20.000000,82.500000,138802.770000,1064.230000,15762.770000,20.540000,516.000000,516.000000,0.000000,20,36,636.339188,3.237156,uniform_torque_compensation
10,bpp_5_10,42,10,"[8, 5, 4, 7, 9]",5,4,9,4,4.000000,"[1, 0, 0, 4, 3]",897.456000,"{1: 8, 0: 9, 4: 7, 3: 9}",0.044700,0.001292,"['4', '0', '3', '2']","['4', '0', '3', '2']",138520.000000,"[('0', 9), ('2', 7), ('3', 9), ('4', 8)]",33,33,"[1, 2, 3, 4, 0]",True,[],0.150000,2,0.138900,0.027800,1,138520.000000,20.000000,97.980000,154281.970000,1752.030000,15761.970000,20.540000,2065.000000,2065.000000,0.000000,30,65,1126.289368,3.753086,uniform_torque_compensation
11,bpp_6_10,42,10,"[8, 8, 8, 8, 7, 4]",6,4,8,5,6.000000,"[5, 2, 0, 4, 1, 3]",842.769000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}",0.234500,0.002041,"['4', '0', '1', '3', '2', '5']","['4', '0', '1', '3', '2', '5']",99600.000000,"[('0', 8), ('1', 4), ('2', 8), ('3', 8), ('4', 8), ('5', 7)]",43,43,"[3, 5, 0, 1, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1,99600.000000,20.000000,59.060000,115362.370000,2002.630000,15762.370000,20.540000,3133.000000,3133.000000,0.000000,42,137,962.972641,4.320747,uniform_torque_compensation
12,bpp_7_10,42,10,"[9, 6, 7, 6, 5, 9, 8]",7,5,9,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",778.120000,"{0: 9, 2: 6, 6: 7, 4: 6, 3: 5, 5: 9, 1: 8}",0.490000,0.001000,"['6', '4', '0', '1', '3', '2', '5']","['6', '4', '0', '1', '3', '2', '5']",181260.000000,"[('0', 7), ('1', 6), ('2', 9), ('3', 5), ('4', 6), ('5', 8), ('6', 9)]",50,50,"[2, 3, 5, 4, 1, 6, 0]",True,[],0.150000,2,0.100000,0.020000,1,181260.000000,20.000000,140.720000,197021.970000,3167.030000,15761.970000,20.540000,3262.000000,3262.000000,0.000000,56,217,2622.365952,4.088080,uniform_torque_compensation
13,bpp_8_10,42,10,"[7, 6, 8, 7, 6, 6, 5, 4]",8,4,8,5,7.000000,"[6, 0, 4, 3, 1, 5, 7, 0]",5196.769000,"{6: 7, 0: 10, 4: 8, 3: 7, 1: 6, 5: 6, 7: 5}",0.106900,0.001000,"['6', '7', '4', '0', '3', '2', '5']","['6', '7', '4', '0', '3', '2', '5']",206260.000000,"[('0', 7), ('2', 6), ('3', 8), ('4', 9), ('5', 7), ('6', 6), ('7', 6)]",49,49,"[0, 1, 2, 6, 7, 3, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1,206260.000000,20.000000,165.720000,222023.170000,3040.830000,15763.170000,20.540000,2559.000000,2559.000000,0.000000,72,371,3609.895706,4.517811,uniform_torque_compensation
14,bpp_9_10,42,10,"[7, 9, 4, 9, 8, 5, 7, 4, 8]",9,4,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 8, 3]",2773.118000,"{2: 7, 7: 9, 6: 4, 1: 9, 5: 8, 8: 9, 0: 7, 3: 8}",0.828500,0.001000,"['8', '6', '7', '4', '0', '1', '2']","['8', '6', '7', '4', '0', '1', '2']",141340.000000,"[('0', 9), ('1', 7), ('2', 8), ('4', 13), ('6', 8), ('7', 7), ('8', 9)]",61,61,"[3, 6, 8, 1, 7, 4, 0, 2, 5]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,141340.000000,20.000000,100.800000,157101.970000,1721.030000,15761.970000,20.540000,3033.000000,3033.000000,0.011111,90,557,4145.860672,5.133318,uniform_torque_compensation
15,bpp_10_10,42,10,"[8, 6, 4, 9, 6, 9, 8, 8, 8, 5]",10,4,9,8,9.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 1]",2786.758000,"{9: 8, 2: 6, 1: 9, 7: 9, 0: 6, 5: 9, 6: 8, 3: 8, 4: 8}",1.240700,0.001000,"['8', '6', '7', '4', '0', '1', '2', '9', '5']","['8', '6', '7', '4', '0', '1', '2', '9', '5']",215820.000000,"[('0', 9), ('1', 9), ('2', 13), ('4', 8), ('5', 8), ('6', 6), ('7', 6), ('8', 4), ('9', 8)]",71,71,"[5, 3, 8, 9, 0, 7, 1, 4, 2, 6]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,215820.000000,20.000000,175.280000,231586.770000,3677.230000,15766.770000,20.540000,3763.000000,3763.000000,0.027273,110,832,7520.675659,5.554563,uniform_torque_compensation
16,bpp_3_10,123,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",1411.361000,"{2: 4, 0: 8, 1: 7}",0.284300,0.069767,"['0', '1', '2']","['0', '1', '2']",115360.000000,"[('0', 7), ('1', 4), ('2', 8)]",19,19,"[2, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,115360.000000,20.000000,74.820000,131122.770000,1311.230000,15762.770000,20.540000,1981.000000,1981.000000,0.000000,12,16,256.538391,2.820148,uniform_torque_compensation
17,bpp_4_10,123,10,"[4, 9, 5, 5]",4,4,9,3,3.000000,"[2, 0, 2, 3]",1047.957000,"{2: 9, 0: 9, 3: 5}",0.228300,0.008032,"['0', '1', '3']","['0', '1', '3']",102900.000000,"[('0', 9), ('1', 5), ('3', 9)]",23,23,"[1, 2, 0, 3]",True,[],0.150000,2,0.138900,0.027800,1,102900.000000,20.000000,62.360000,118663.170000,2011.830000,15763.170000,20.540000,1017.000000,1017.000000,0.000000,20,36,670.909882,3.097520,uniform_torque_compensation
18,bpp_5_10,123,10,"[5, 6, 5, 6, 8]",5,5,8,3,4.000000,"[0, 4, 0, 3, 2]",598.922000,"{0: 10, 4: 6, 3: 6, 2: 8}",0.320000,0.012484,"['4', '1', '3', '2']","['4', '1', '3', '2']",82800.000000,"[('1', 10), ('2', 6), ('3', 6), ('4', 8)]",30,30,"[0, 2, 1, 3, 4]",True,[],0.150000,2,0.100000,0.020000,1,82800.000000,20.000000,42.260000,98563.970000,3154.030000,15763.970000,20.540000,2830.000000,2830.000000,0.000000,30,69,1303.911209,3.162369,uniform_torque_compensation
19,bpp_6_10,123,10,"[6, 9, 6, 5, 8, 8]",6,5,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",513.101000,"{5: 6, 2: 9, 0: 6, 4: 5, 1: 8, 3: 8}",0.420000,0.002022,"['4', '0', '1', '3', '2', '5']","['4', '0', '1', '3', '2', '5']",123820.000000,"[('0', 5), ('1', 6), ('2', 9), ('3', 8), ('4', 6), ('5', 8)]",42,42,"[3, 0, 1, 5, 2, 4]",True,[],0.150000,2,0.100000,0.020000,1,123820.000000,20.000000,83.280000,139583.570000,2920.430000,15763.570000,20.540000,1614.000000,1614.000000,0.000000,42,136,1739.501953,3.727194,uniform_torque_compensation
20,bpp_7_10,123,10,"[9, 9, 4, 7, 5, 5, 5]",7,4,9,5,5.000000,"[4, 2, 1, 3, 5, 5, 1]",1033.924000,"{4: 9, 2: 9, 1: 9, 3: 7, 5: 10}",0.250200,0.001001,"['6', '4', '0', '3', '2']","['6', '4', '0', '3', '2']",205640.000000,"[('0', 9), ('2', 9), ('3', 9), ('4', 7), ('6', 10)]",44,44,"[1, 0, 2, 4, 3, 5, 6]",True,[],0.150000,2,0.138900,0.027800,1,205640.000000,20.000000,165.100000,221403.170000,3601.830000,15763.170000,20.540000,3982.000000,3982.000000,0.000000,56,234,1490.831375,4.325762,uniform_torque_compensation
21,bpp_8_10,123,10,"[8, 8, 5, 6, 8, 4, 7, 6]",8,4,8,6,7.000000,"[6, 0, 4, 3, 1, 5, 7, 5]",2250.647000,"{6: 8, 0: 8, 4: 5, 3: 6, 1: 8, 5: 10, 7: 7}",0.273400,0.001000,"['6', '7', '0', '1', '3', '2', '5']","['6', '7', '0', '1', '3', '2', '5']",205340.000000,"[('0', 8), ('1', 10), ('2', 6), ('3', 5), ('5', 7), ('6', 8), ('7', 8)]",52,52,"[4, 3, 5, 7, 2, 6, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,205340.000000,20.000000,164.800000,221104.770000,2812.230000,15764.770000,20.540000,1269.000000,1269.000000,0.013889,72,338,3794.908524,4.680473,uniform_torque_compensation
22,bpp_9_10,123,10,"[9, 8, 5, 9, 8, 5, 7, 8, 5]",9,5,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 3, 8]",1225.196000,"{2: 9, 7: 8, 6: 5, 1: 9, 5: 8, 8: 10, 0: 7, 3: 8}",0.560000,0.001000,"['8', '6', '7', '4', '0', '3', '2', '5']","['8', '6', '7', '4', '0', '3', '2', '5']",145000.000000,"[('0', 7), ('2', 8), ('3', 5), ('4', 8), ('5', 10), ('6', 8), ('7', 9), ('8', 9)]",64,64,"[6, 1, 5, 7, 2, 8, 4, 0, 3]",True,[],0.150000,2,0.100000,0.020000,1,145000.000000,20.000000,104.460000,160762.370000,3013.630000,15762.370000,20.540000,2976.000000,2976.000000,0.011111,90,603,3816.843033,4.667588,uniform_torque_compensation
23,bpp_10_10,123,10,"[5, 4, 4, 6, 4, 7, 6, 5, 6, 4]",10,4,7,6,6.000000,"[0, 4, 2, 4, 6, 9, 6, 0, 2, 7]",3211.756000,"{0: 10, 4: 10, 2: 10, 6: 10, 9: 7, 7: 4}",0.495900,0.001000,"['8', '7', '4', '0', '1', '2', '9']","['8', '7', '4', '0', '1', '2', '9']",202840.000000,"[('0', 6), ('1', 8), ('2', 6), ('4', 11), ('7', 8), ('8', 5), ('9', 7)]",51,51,"[8, 1, 4, 6, 0, 3, 2, 9, 7, 5]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,202840.000000,20.000000,162.300000,218601.970000,4007.030000,15761.970000,20.540000,5111.000000,5111.000000,0.018182,110,852,7046.937943,4.696409,uniform_torque_compensation
24,bpp_3_10,90,10,"[7, 6, 4]",3,4,7,2,2.000000,"[1, 0, 0]",603.157000,"{1: 7, 0: 10}",0.133500,0.044444,"['1', '2']","['1', '2']",112500.000000,"[('1', 7), ('2', 10)]",17,17,"[0, 1, 2]",True,[],0.150000,2,0.138900,0.027800,1,112500.000000,20.000000,71.960000,128263.170000,1215.830000,15763.170000,20.540000,1069.000000,1069.000000,0.000000,12,15,218.391418,2.630954,uniform_torque_compensation
25,bpp_4_10,90,10,"[8, 5, 7, 5]",4,5,8,3,3.000000,"[2, 0, 1, 0]",708.882000,"{2: 8, 0: 10, 1: 7}",0.210000,0.026087,"['0', '1', '2']","['0', '1', '2']",120560.000000,"[('0', 7), ('1', 10), ('2', 8)]",25,25,"[2, 1, 3, 0]",True,[],0.150000,2,0.100000,0.020000,1,120560.000000,20.000000,80.020000,136322.370000,2962.630000,15762.370000,20.540000,894.000000,894.000000,0.000000,20,35,352.382660,2.838036,uniform_torque_compensation
26,bpp_5_10,90,10,"[6, 7, 8, 7, 4]",5,4,8,4,4.000000,"[0, 3, 4, 2, 0]",596.762000,"{0: 10, 3: 7, 4: 8, 2: 7}",0.100400,0.001295,"['4', '0', '3', '2']","['4', '0', '3', '2']",131400.000000,"[('0', 10), ('2', 7), ('3', 8), ('4', 7)]",32,32,"[0, 4, 3, 2, 1]",True,[],0.150000,2,0.138900,0.027800,1,131400.000000,20.000000,90.860000,147163.570000,2254.430000,15763.570000,20.540000,733.000000,733.000000,0.000000,30,71,644.445419,3.658755,uniform_torque_compensation
27,bpp_6_10,90,10,"[6, 8, 8, 9, 9, 6]",6,6,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",504.606000,"{5: 6, 2: 8, 0: 8, 4: 9, 1: 9, 3: 6}",0.477200,0.001017,"['4', '0', '1', '3', '2', '5']","['4', '0', '1', '3', '2', '5']",208140.000000,"[('0', 9), ('1', 8), ('2', 9), ('3', 8), ('4', 6), ('5', 6)]",46,46,"[3, 2, 4, 1, 0, 5]",True,[],0.150000,2,0.075800,0.015200,1,208140.000000,20.000000,167.600000,223902.770000,1662.230000,15762.770000,20.540000,1096.000000,1096.000000,0.000000,42,147,998.258591,3.569820,uniform_torque_compensation
28,bpp_7_10,90,10,"[5, 4, 4, 4, 8, 9, 6]",7,4,9,4,5.000000,"[0, 2, 2, 4, 3, 5, 4]",833.710000,"{0: 5, 2: 8, 4: 10, 3: 8, 5: 9}",0.083800,0.001000,"['6', '4', '1', '2', '5']","['6', '4', '1', '2', '5']",171160.000000,"[('1', 8), ('2', 8), ('4', 9), ('5', 9), ('6', 6)]",40,40,"[1, 3, 4, 5, 0, 2, 6]",True,[],0.150000,2,0.138900,0.027800,1,171160.000000,20.000000,130.620000,186922.770000,3285.230000,15762.770000,20.540000,3064.000000,3064.000000,0.000000,56,233,2671.480179,4.126622,uniform_torque_compensation
29,bpp_8_10,90,10,"[7, 9, 7, 8, 8, 5, 5, 8]",8,5,9,6,7.000000,"[5, 3, 1, 6, 4, 0, 0, 7]",1469.357000,"{5: 7, 3: 9, 1: 7, 6: 8, 4: 8, 0: 10, 7: 8}",0.770000,0.001000,"['6', '7', '4', '1', '3', '2', '5']","['6', '7', '4', '1', '3', '2', '5']",142300.000000,"[('1', 7), ('2', 8), ('3', 8), ('4', 8), ('5', 12), ('6', 9), ('7', 5)]",57,57,"[2, 4, 3, 7, 0, 6, 1, 5]",False,['Some bins are overfilled; '],0.150000,2,0.100000,0.020000,1,142300.000000,20.000000,101.760000,158065.570000,2980.430000,15765.570000,20.540000,2640.000000,2640.000000,0.000000,72,355,2310.752869,4.379952,uniform_torque_compensation
