index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",650.523000,"{2: 10, 0: 8}",0.133400,0.085714,"['2', '0']","['2', '0']",131780.000000,"[('0', 8), ('2', 10)]",18,18,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1,131780.000000,20.000000,91.240000,147541.970000,1416.030000,15761.970000,20.540000,467.000000,467.000000,0.000000,12,17,246.047974
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",843.936000,"{1: 7, 3: 9, 2: 7}",0.005900,0.024490,"['3', '2', '1']","['3', '2', '1']",90600.000000,"[('1', 9), ('2', 7), ('3', 7)]",23,23,"[1, 2, 3, 0]",True,[],0.150000,2,0.138900,0.027800,1,90600.000000,20.000000,50.060000,106362.770000,923.230000,15762.770000,20.540000,415.000000,415.000000,0.000000,20,39,445.127487
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",967.962000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.005319,"['3', '4', '0', '1']","['3', '4', '0', '1']",187500.000000,"[('0', 8), ('1', 7), ('3', 9), ('4', 7)]",31,31,"[0, 1, 2, 4, 3]",True,[],0.150000,2,0.138900,0.027800,1,187500.000000,20.000000,146.960000,203260.770000,1893.230000,15760.770000,20.540000,1669.000000,1669.000000,0.000000,30,69,1142.263412
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",873.096000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.002022,"['3', '2', '0', '1']","['3', '2', '0', '1']",130800.000000,"[('0', 8), ('1', 6), ('2', 10), ('3', 9)]",33,33,"[5, 0, 1, 3, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1,130800.000000,20.000000,90.260000,146562.370000,2259.630000,15762.370000,20.540000,4428.000000,4428.000000,0.000000,42,129,1833.200455
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",613.445000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.537600,0.001000,"['5', '3', '2', '6', '4', '1', '0']","['5', '3', '2', '6', '4', '1', '0']",120360.000000,"[('0', 6), ('1', 6), ('2', 8), ('3', 6), ('4', 6), ('5', 8), ('6', 8)]",48,48,"[1, 3, 4, 5, 6, 0, 2]",True,[],0.150000,2,0.075800,0.015200,1,120360.000000,20.000000,79.820000,136122.770000,2220.230000,15762.770000,20.540000,3186.000000,3186.000000,0.000000,56,236,3233.432770
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",3082.269000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.139600,0.001000,"['3', '6', '4', '1', '0']","['3', '6', '4', '1', '0']",192780.000000,"[('0', 8), ('1', 6), ('3', 9), ('4', 9), ('6', 6)]",38,38,"[3, 5, 2, 0, 4, 1, 7, 6]",True,[],0.150000,2,0.138900,0.027800,1,192780.000000,20.000000,152.240000,208544.370000,3693.630000,15764.370000,20.540000,1418.000000,1418.000000,0.013889,72,359,4169.225693
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",1758.021000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",0.329000,0.001000,"['3', '2', '6', '4', '1', '8', '0']","['3', '2', '6', '4', '1', '8', '0']",233300.000000,"[('0', 4), ('1', 7), ('2', 9), ('3', 9), ('4', 7), ('6', 8), ('8', 8)]",52,52,"[5, 0, 1, 3, 7, 8, 4, 6, 2]",True,[],0.150000,2,0.138900,0.027800,1,233300.000000,20.000000,192.760000,249062.370000,2794.630000,15762.370000,20.540000,2478.000000,2478.000000,0.000000,90,591,3332.853317
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",2876.252000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",0.645500,0.001000,"['3', '2', '6', '4', '8', '0', '9', '7']","['3', '2', '6', '4', '8', '0', '9', '7']",199420.000000,"[('0', 9), ('2', 9), ('3', 5), ('4', 9), ('6', 11), ('7', 7), ('8', 6), ('9', 9)]",65,65,"[4, 7, 0, 5, 3, 6, 1, 8, 2, 9]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,199420.000000,20.000000,158.880000,215181.970000,4441.030000,15761.970000,20.540000,4146.000000,4146.000000,0.000000,110,800,10291.337967
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",483.140000,"{2: 4, 0: 8, 1: 7}",0.284300,0.078947,"['2', '0', '1']","['2', '0', '1']",118940.000000,"[('0', 7), ('1', 4), ('2', 8)]",19,19,"[2, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1,118940.000000,20.000000,78.400000,134702.370000,1141.630000,15762.370000,20.540000,335.000000,335.000000,0.000000,12,17,228.881836
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",772.890000,"{2: 6, 0: 10, 1: 9}",0.228100,0.055300,"['3', '2', '1']","['3', '2', '1']",117380.000000,"[('1', 6), ('2', 10), ('3', 9)]",25,25,"[0, 1, 3, 2]",True,[],0.150000,2,0.138900,0.027800,1,117380.000000,20.000000,76.840000,133143.170000,2065.830000,15763.170000,20.540000,1083.000000,1083.000000,0.000000,20,36,405.311584
10,bpp_5_10,42,10,"[8, 5, 4, 7, 9]",5,4,9,4,4.000000,"[1, 0, 0, 4, 3]",1111.334000,"{1: 8, 0: 9, 4: 7, 3: 9}",0.044700,0.001412,"['3', '4', '0', '1']","['3', '4', '0', '1']",110280.000000,"[('0', 9), ('1', 7), ('3', 9), ('4', 8)]",33,33,"[1, 2, 3, 4, 0]",True,[],0.150000,2,0.138900,0.027800,1,110280.000000,20.000000,69.740000,126043.570000,1891.430000,15763.570000,20.540000,618.000000,618.000000,0.000000,30,70,634.193420
11,bpp_6_10,42,10,"[8, 8, 8, 8, 7, 4]",6,4,8,5,6.000000,"[5, 2, 0, 4, 1, 3]",660.382000,"{5: 8, 2: 8, 0: 8, 4: 8, 1: 7, 3: 4}",0.234500,0.001055,"['5', '3', '2', '4', '1', '0']","['5', '3', '2', '4', '1', '0']",159360.000000,"[('0', 8), ('1', 8), ('2', 8), ('3', 8), ('4', 4), ('5', 7)]",43,43,"[0, 1, 3, 2, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1,159360.000000,20.000000,118.820000,175120.770000,2259.230000,15760.770000,20.540000,712.000000,712.000000,0.000000,42,131,1030.445099
