index,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_QA_min_eigenvalue,AL_QA_eigenval_prob,AL_QA_yi,AL_QA_xij,AL_QA_runtime,AL_QA_assignment,AL_QA_real_weights_sum,AL_QA_placed_weights_sum,AL_QA_used_items,AL_QA_feasible,AL_QA_reason,AL_QA_penalties_dict_delta,AL_QA_penalties_dict_theta,AL_QA_penalties_dict_lmbd,AL_QA_penalties_dict_rho,AL_QA_penalties_dict_gamma,AL_QA_runtime_metrics_qpu_sampling_time,AL_QA_runtime_metrics_qpu_anneal_time_per_sample,AL_QA_runtime_metrics_qpu_readout_time_per_sample,AL_QA_runtime_metrics_qpu_access_time,AL_QA_runtime_metrics_qpu_access_overhead_time,AL_QA_runtime_metrics_qpu_programming_time,AL_QA_runtime_metrics_qpu_delay_time_per_sample,AL_QA_runtime_metrics_total_post_processing_time,AL_QA_runtime_metrics_post_processing_overhead_time,AL_QA_cbf,AL_QA_logiqu,AL_QA_physiqu,AL_QA_qubo_time,AL_QA_chain_strength_sample,AL_QA_chain_strength_method
0,bpp_3_10,23,10,"[4, 8, 6]",3,4,8,2,2.000000,"[2, 0, 2]",522.522000,"{2: 10, 0: 8}",0.133400,0.083333,"['0', '1']","['0', '1']",106500.000000,"[('0', 8), ('1', 10)]",18,18,"[1, 0, 2]",True,[],0.150000,2,0.138900,0.027800,1,106500.000000,20.000000,65.960000,122259.170000,3693.830000,15759.170000,20.540000,798.000000,798.000000,0.000000,12,15,254.154205,2.726130,uniform_torque_compensation
1,bpp_4_10,23,10,"[7, 5, 4, 7]",4,4,7,3,3.000000,"[1, 3, 3, 2]",920.222000,"{1: 7, 3: 9, 2: 7}",0.005900,0.022901,"['2', '1', '3']","['2', '1', '3']",146980.000000,"[('1', 9), ('2', 7), ('3', 7)]",23,23,"[1, 2, 3, 0]",True,[],0.150000,2,0.138900,0.027800,1,146980.000000,20.000000,106.440000,162739.170000,2445.830000,15759.170000,20.540000,562.000000,562.000000,0.000000,20,35,423.908234,3.078706,uniform_torque_compensation
2,bpp_5_10,23,10,"[4, 4, 7, 7, 9]",5,4,9,4,4.000000,"[0, 0, 4, 2, 1]",1022.554000,"{0: 8, 4: 7, 2: 7, 1: 9}",-0.010700,0.002513,"['0', '1', '3', '4']","['0', '1', '3', '4']",107180.000000,"[('0', 8), ('1', 7), ('3', 9), ('4', 7)]",31,31,"[0, 1, 2, 4, 3]",True,[],0.150000,2,0.138900,0.027800,1,107180.000000,20.000000,66.640000,122938.370000,2295.630000,15758.370000,20.540000,1056.000000,1056.000000,0.000000,30,70,699.758530,3.623217,uniform_torque_compensation
3,bpp_6_10,23,10,"[6, 5, 5, 5, 4, 8]",6,4,8,4,4.000000,"[2, 4, 4, 1, 1, 0]",1457.739000,"{2: 6, 4: 10, 1: 9, 0: 8}",0.211500,0.002016,"['0', '1', '3', '5']","['0', '1', '3', '5']",132480.000000,"[('0', 8), ('1', 10), ('3', 9), ('5', 6)]",33,33,"[5, 1, 3, 2, 4, 0]",True,[],0.150000,2,0.138900,0.027800,1,132480.000000,20.000000,91.940000,148238.770000,2258.230000,15758.770000,20.540000,2452.000000,2452.000000,0.000000,42,135,3214.836121,3.714758,uniform_torque_compensation
4,bpp_7_10,23,10,"[8, 6, 8, 6, 8, 6, 6]",7,6,8,5,7.000000,"[0, 2, 6, 4, 3, 5, 1]",1007.016000,"{0: 8, 2: 6, 6: 8, 4: 6, 3: 8, 5: 6, 1: 6}",0.537600,0.001001,"['3', '6', '5', '0', '4', '2', '1']","['3', '6', '5', '0', '4', '2', '1']",199980.000000,"[('0', 8), ('1', 6), ('2', 6), ('3', 6), ('4', 6), ('5', 8), ('6', 8)]",48,48,"[4, 3, 6, 1, 5, 0, 2]",True,[],0.150000,2,0.075800,0.015200,1,199980.000000,20.000000,159.440000,215739.170000,2632.830000,15759.170000,20.540000,2095.000000,2095.000000,0.017857,56,230,1442.670822,3.738291,uniform_torque_compensation
5,bpp_8_10,23,10,"[4, 5, 6, 4, 5, 4, 6, 4]",8,4,6,4,4.000000,"[0, 1, 0, 2, 1, 2, 6, 6]",2888.557000,"{0: 10, 1: 10, 2: 8, 6: 10}",0.139600,0.001000,"['6', '3', '0', '4', '2']","['6', '3', '0', '4', '2']",145260.000000,"[('0', 6), ('2', 6), ('3', 8), ('4', 9), ('6', 9)]",38,38,"[2, 6, 0, 3, 4, 7, 1, 5]",True,[],0.150000,2,0.138900,0.027800,1,145260.000000,20.000000,104.720000,161019.570000,1965.430000,15759.570000,20.540000,5342.000000,5342.000000,0.013889,72,372,2797.603607,4.087673,uniform_torque_compensation
6,bpp_9_10,23,10,"[7, 5, 8, 4, 7, 4, 8, 5, 4]",9,4,8,6,7.000000,"[2, 7, 6, 1, 5, 1, 0, 8, 8]",2036.278000,"{2: 7, 7: 5, 6: 8, 1: 8, 5: 7, 0: 8, 8: 9}",0.106600,0.001000,"['6', '3', '7', '0', '4', '8', '1']","['6', '3', '7', '0', '4', '8', '1']",143260.000000,"[('0', 7), ('1', 8), ('3', 8), ('4', 5), ('6', 9), ('7', 7), ('8', 8)]",52,52,"[0, 2, 5, 8, 7, 1, 3, 4, 6]",True,[],0.150000,2,0.138900,0.027800,1,143260.000000,20.000000,102.720000,159020.770000,3406.230000,15760.770000,20.540000,3873.000000,3873.000000,0.000000,90,584,3080.368042,4.695139,uniform_torque_compensation
7,bpp_10_10,23,10,"[5, 7, 5, 7, 9, 9, 4, 9, 6, 4]",10,4,9,7,8.000000,"[5, 0, 8, 7, 6, 9, 8, 2, 4, 4]",3368.031000,"{5: 5, 0: 7, 8: 9, 7: 7, 6: 9, 9: 9, 2: 9, 4: 10}",1.201500,0.001000,"['3', '7', '5', '0', '8', '2', '1', '9']","['3', '7', '5', '0', '8', '2', '1', '9']",195800.000000,"[('0', 5), ('1', 8), ('2', 9), ('3', 9), ('5', 13), ('7', 9), ('8', 7), ('9', 5)]",65,65,"[2, 6, 9, 5, 4, 1, 8, 7, 3, 0]",False,['Some bins are overfilled; '],0.150000,2,0.138900,0.027800,1,195800.000000,20.000000,155.260000,211562.370000,3515.630000,15762.370000,20.540000,4601.000000,4601.000000,0.018182,110,803,8239.507675,5.280486,uniform_torque_compensation
8,bpp_3_10,42,10,"[4, 8, 7]",3,4,8,2,3.000000,"[2, 0, 1]",464.125000,"{2: 4, 0: 8, 1: 7}",0.284300,0.069767,"['0', '2', '1']","['0', '2', '1']",101700.000000,"[('0', 8), ('1', 7), ('2', 4)]",19,19,"[1, 2, 0]",True,[],0.150000,2,0.138900,0.027800,1,101700.000000,20.000000,61.160000,117458.770000,2255.230000,15758.770000,20.540000,497.000000,497.000000,0.000000,12,16,226.974487,2.820148,uniform_torque_compensation
9,bpp_4_10,42,10,"[6, 6, 9, 4]",4,4,9,3,3.000000,"[2, 0, 1, 0]",550.320000,"{2: 6, 0: 10, 1: 9}",0.228100,0.051181,"['0', '2', '1']","['0', '2', '1']",164040.000000,"[('0', 6), ('1', 9), ('2', 10)]",25,25,"[0, 2, 1, 3]",True,[],0.150000,2,0.138900,0.027800,1,164040.000000,20.000000,123.500000,179799.170000,1835.830000,15759.170000,20.540000,439.000000,439.000000,0.000000,20,36,402.688980,3.237156,uniform_torque_compensation
